CENTROID_ID,NEAREST_CENTROIDS_DISTANCE,BALANCE,PURCHASES,CASH_ADVANCE
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.2708679108973457""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.2276697193239863""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""4.1927861932473913""
  }]
}",2323.083307,0.0,4750.570325
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.5607989486755276""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.6141130840591957""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""3.657440933355379""
  }]
}",4025.646358,0.0,1189.418695
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.48197971686541108""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""3.0804738096075495""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""4.3042868815418007""
  }]
}",5308.90635,0.0,4954.608429
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""3.2170899111853064""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""5.0354800334202023""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""5.9566793045251449""
  }]
}",2870.08219,490.21,10735.1018
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.2159700505257993""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.5602239378123521""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""3.7712625609839354""
  }]
}",2754.041187,132.0,2959.646926
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.739803164851571""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.4169481382894382""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""3.614014112605012""
  }]
}",5842.231445,452.59,786.62111
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.8124771383517242""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""3.0562825943081244""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""4.51667775781967""
  }]
}",1929.555023,621.11,6691.286753
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""4.0855573412378785""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""5.599242608322176""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""5.6246588248948184""
  }]
}",12474.72954,136.88,515.147607
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.7750659191936526""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.4905159430807564""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""3.3109220079194244""
  }]
}",5976.796897,1194.52,790.205561
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.47318257771706529""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.6578232128834864""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""4.1732442986030245""
  }]
}",4218.956639,0.0,4734.304587
